time,steps_j1,steps_j2,steps_j3,steps_j4,steps_j5,steps_j6
0.021073199999591452,-5,1,-6,0,0,0
0.021846100000402657,-5,1,-6,0,0,0
0.021522999999433523,-5,1,-6,0,0,0
0.0224052000003212,-5,1,-6,0,0,0
0.020983399999749963,-5,1,-6,0,0,0
0.022403900000426802,-5,1,-7,0,0,0
0.021011400000134017,-5,1,-6,0,0,0
0.020982899999580695,-5,1,-6,0,0,0
0.021972200000163866,-5,1,-7,0,0,0
0.02289660000042204,-5,1,-8,0,1,0
0.021076699999866833,-5,1,-7,0,0,0
0.021847799999704876,-5,1,-7,0,0,0
0.021031399999628775,-5,1,-7,0,0,0
0.022535500000230968,-5,1,-8,0,1,0
0.021353699999963283,-5,1,-7,0,0,0
0.021204900000157068,-5,1,-7,0,0,0
0.021242200000415323,-5,1,-8,0,0,0
0.021968399999423127,-5,1,-8,0,1,0
0.02089620000060677,-5,1,-8,0,0,0
0.021022699999775796,-5,1,-8,0,0,0
0.021955399999569636,-5,1,-8,0,1,0
0.021053700000265962,-5,1,-8,0,1,0
0.0214642000000822,-5,1,-8,0,1,0
0.022581799999898067,-5,1,-8,0,1,0
0.020787899999959336,-5,1,-8,0,1,0
0.024201400000492868,-5,1,-9,0,1,0
0.022296799999821815,-5,1,-8,0,1,0
0.021648500000083004,-5,1,-8,0,1,0
0.02117759999964619,-5,1,-8,0,1,0
0.0215451000003668,-5,1,-8,0,1,0
0.021391100000073493,-5,1,-9,0,1,0
0.02200769999944896,-5,1,-9,0,1,0
0.02194839999992837,-5,1,-9,0,1,0
0.022441300000537012,-5,1,12,1,-1,-1
0.02145250000012311,-5,1,12,1,-1,-1
0.021957599999950617,-5,1,12,1,-1,-1
0.021043299999291776,-5,1,11,1,-1,-1
0.02093700000023091,-4,1,11,1,-1,-1
0.02201039999999921,-5,1,11,1,-1,-1
0.022977800000262505,-5,1,12,1,-1,-1
0.022925600000235136,-5,1,12,1,-1,-1
0.020956099999239086,-4,1,10,1,-1,-1
0.021986300000207848,-5,1,10,1,-1,-1
0.022460099999989325,-5,1,10,1,-1,-1
0.022943200000554498,-5,1,11,1,-1,-1
0.021904100000028848,-5,1,10,1,-1,-1
0.021462799999426352,-5,1,10,1,-1,-1
0.021002899999984947,-4,1,9,1,-1,-1
0.021482600000126695,-5,1,9,1,-1,-1
0.02145840000048338,-5,1,9,1,-1,-1
0.021462699999574397,-5,1,9,1,-1,-1
0.021066399999654095,-4,1,9,1,-1,-1
0.022926900000129535,-5,1,9,1,-1,-1
0.02288860000044224,-5,1,9,1,-1,-1
0.02098939999996219,-4,1,8,1,-1,-1
0.02248539999982313,-5,1,9,1,-1,-1
0.022406400000363647,-5,1,9,1,-1,-1
0.021998299999722803,-5,1,8,1,-1,-1
0.021636299999954645,-4,1,8,1,-1,-1
0.0203481999997166,-4,1,8,1,-1,-1
0.021873900000173307,-5,1,8,1,-1,-1
0.020991000000321947,-4,1,7,1,-1,-1
0.020981099999517028,-4,1,7,1,-1,-1
0.022387500000149885,-5,1,8,1,-1,-1
0.02214189999995142,-5,1,7,1,-1,-1
0.02128569999968022,-4,1,6,1,0,-1
